task,task_version,family,primitive,attempt,harness,harness_version,provider,model,trial,passed,reward,verifier_rewards,inference_calls,input_tokens,cached_tokens,uncached_input_tokens,output_tokens,cost_usd,total_seconds,agent_execution_seconds
agent-harness-smoke/batchline-extract-legacy-remote-provider,0.1.0,R4,large contiguous move/module split,,custom-harness,snapshot-1,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,withheld-private-run,True,1.0,"{""reward"": 1.0}",22,417196,346112,71084,4389,0.022894348,182.044317,72.501704
agent-harness-smoke/batchline-extract-legacy-remote-provider,0.1.0,R4,large contiguous move/module split,,mini-swe-agent,2.4.6,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-extract-legacy-remote__suPgGim,True,1.0,"{""reward"": 1.0}",22,334192,288768,45424,7233,0.019093139999999998,268.415652,126.809614
agent-harness-smoke/batchline-extract-legacy-remote-provider,0.1.0,R4,large contiguous move/module split,,opencode,1.18.30,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-extract-legacy-remote__7o4KT2r,True,1.0,"{""reward"": 1.0}",13,207203,176128,31075,2861,0.01165359,219.58178,103.927932
agent-harness-smoke/batchline-quarantine-rate-limit-events,0.1.1,R3,large line-oriented inspection/filtering,,custom-harness,snapshot-1,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,withheld-private-run,True,1.0,"{""reward"": 1.0}",4,26219,16384,9835,762,0.002331386,130.516815,21.399449
agent-harness-smoke/batchline-quarantine-rate-limit-events,0.1.1,R3,large line-oriented inspection/filtering,,mini-swe-agent,2.4.6,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-quarantine-rate-limit__yV3FJDA,True,1.0,"{""reward"": 1.0}",16,84284,51200,33084,3092,0.008044599999999999,132.033076,67.68237
agent-harness-smoke/batchline-quarantine-rate-limit-events,0.1.1,R3,large line-oriented inspection/filtering,,opencode,1.18.30,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-quarantine-rate-limit__HrAPbHk,True,1.0,"{""reward"": 1.0}",4,30906,18432,12474,300,0.00260356,106.390268,42.481748
agent-harness-smoke/batchline-remove-legacy-remote-provider,0.1.1,R2,large contiguous deletion,,custom-harness,snapshot-1,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,withheld-private-run,True,1.0,"{""reward"": 1.0}",12,189023,157696,31327,1759,0.010151734,99.876945,32.557718
agent-harness-smoke/batchline-remove-legacy-remote-provider,0.1.1,R2,large contiguous deletion,,mini-swe-agent,2.4.6,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-remove-legacy-remote-p__JJbn355,True,1.0,"{""reward"": 1.0}",31,337441,276480,60961,4224,0.01955055,180.19367,113.346655
agent-harness-smoke/batchline-remove-legacy-remote-provider,0.1.1,R2,large contiguous deletion,,opencode,1.18.30,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-remove-legacy-remote-p__dVyszUY,True,1.0,"{""reward"": 1.0}",16,296787,258048,38739,1218,0.01594679,272.048234,184.032857
agent-harness-smoke/batchline-selective-retry-policies,0.1.0,R1,selective repeated edit,,custom-harness,snapshot-1,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,withheld-private-run,True,1.0,"{""reward"": 1.0}",7,80936,59392,21544,1183,0.005545468,130.29041,25.341001
agent-harness-smoke/batchline-selective-retry-policies,0.1.0,R1,selective repeated edit,,mini-swe-agent,2.4.6,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-selective-retry-polici__PrCmr7S,True,1.0,"{""reward"": 1.0}",12,63336,36864,26472,962,0.00555772,252.19425,51.214645
agent-harness-smoke/batchline-selective-retry-policies,0.1.0,R1,selective repeated edit,,opencode,1.18.30,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-selective-retry-polici__GL3Faro,True,1.0,"{""reward"": 1.0}",14,139027,116736,22291,1205,0.007605229999999999,184.993875,73.255056
agent-harness-smoke/batchline-submitted-by,0.1.0,B1,coordinated multi-file modification,,custom-harness,snapshot-1,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,withheld-private-run,True,1.0,"{""reward"": 1.0}",6,61661,43008,18653,1595,0.004842682,139.432765,29.107523
agent-harness-smoke/batchline-submitted-by,0.1.0,B1,coordinated multi-file modification,,mini-swe-agent,2.4.6,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-submitted-by--mini-swe__7G5pypY,True,1.0,"{""reward"": 1.0}",20,143568,112640,30928,3356,0.009696399999999999,190.914539,88.081579
agent-harness-smoke/batchline-submitted-by,0.1.0,B1,coordinated multi-file modification,,opencode,1.18.30,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-submitted-by--opencode__R9oVjfE,True,1.0,"{""reward"": 1.0}",11,121055,100352,20703,1398,0.00703901,185.930099,83.366929
