task,task_version,family,primitive,attempt,harness,harness_version,provider,model,trial,passed,reward,verifier_rewards,inference_calls,input_tokens,cached_tokens,uncached_input_tokens,output_tokens,reasoning_tokens,cost_usd,total_seconds,agent_execution_seconds
agent-harness-smoke/batchline-extract-legacy-remote-provider,0.1.0,R4,large contiguous move/module split,,custom-harness,snapshot-1,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,private-run,True,1.0,"{""reward"": 1.0}",22,417196,346112,71084,3049,1340,0.022894348,182.044317,72.501704
agent-harness-smoke/batchline-extract-legacy-remote-provider,0.1.0,R4,large contiguous move/module split,,mini-swe-agent,2.4.6,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-extract-legacy-remote__suPgGim,True,1.0,"{""reward"": 1.0}",22,334192,288768,45424,7233,2993,0.019093139999999998,268.415652,126.809614
agent-harness-smoke/batchline-extract-legacy-remote-provider,0.1.0,R4,large contiguous move/module split,,opencode,1.18.30,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-extract-legacy-remote__7o4KT2r,True,1.0,"{""reward"": 1.0}",13,207203,176128,31075,2861,556,0.01165359,219.58178,103.927932
agent-harness-smoke/batchline-quarantine-rate-limit-events,0.1.1,R3,large line-oriented inspection/filtering,,custom-harness,snapshot-1,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,private-run,True,1.0,"{""reward"": 1.0}",4,26219,16384,9835,739,23,0.002331386,130.516815,21.399449
agent-harness-smoke/batchline-quarantine-rate-limit-events,0.1.1,R3,large line-oriented inspection/filtering,,mini-swe-agent,2.4.6,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-quarantine-rate-limit__yV3FJDA,True,1.0,"{""reward"": 1.0}",16,84284,51200,33084,3092,593,0.008044599999999999,132.033076,67.68237
agent-harness-smoke/batchline-quarantine-rate-limit-events,0.1.1,R3,large line-oriented inspection/filtering,,opencode,1.18.30,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-quarantine-rate-limit__HrAPbHk,True,1.0,"{""reward"": 1.0}",4,30906,18432,12474,300,59,0.00260356,106.390268,42.481748
agent-harness-smoke/batchline-remove-legacy-remote-provider,0.1.1,R2,large contiguous deletion,,custom-harness,snapshot-1,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,private-run,True,1.0,"{""reward"": 1.0}",12,189023,157696,31327,1423,336,0.010151734,99.876945,32.557718
agent-harness-smoke/batchline-remove-legacy-remote-provider,0.1.1,R2,large contiguous deletion,,mini-swe-agent,2.4.6,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-remove-legacy-remote-p__JJbn355,True,1.0,"{""reward"": 1.0}",31,337441,276480,60961,4224,969,0.01955055,180.19367,113.346655
agent-harness-smoke/batchline-remove-legacy-remote-provider,0.1.1,R2,large contiguous deletion,,opencode,1.18.30,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,batchline-remove-legacy-remote-p__dVyszUY,True,1.0,"{""reward"": 1.0}",16,296787,258048,38739,1218,3571,0.01594679,272.048234,184.032857
agent-harness-smoke/batchline-selective-retry-policies,0.1.0,R1,selective repeated edit,,custom-harness,snapshot-1,fireworks_ai,accounts/fireworks/models/glm-5p3-flash,private-run,True,1.0,"{""reward"": 1.0}",7,80936,59392,21544,878,305,0.005545468,130.29041,25.341001
